license	location	pmcid	pmid	doi	pubdate	source	number	text	software	version	ID	curation_label	mapped_to_software
comm	comm/BMC_Evol_Biol/PMC5580441.nxml	5580441	28863778.0	10.1186/s12862-017-1047-3	2017	Phylogenetic reconstruction	12	We concatenated sequences of all nuclear loci using Sequence Matrix v1.7.8 [42] and employed RAxML GUI v1.5 [43] to reconstruct a maximum likelihood (ML) tree under the GTR + gamma model, performing 100 runs using a bootstrap algorithm with 1000 replicates	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC4264551.nxml	4264551	25433367.0	10.1186/s12862-014-0245-5	2014	Phylogenetic reconstruction	26	We verified each alignment visually and concatenated the mitochondrial and nuclear datasets in two separate super-matrices with SequenceMatrix [37]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC2944183.nxml	2944183	20831809.0	10.1186/1471-2148-10-275	2010	2) Reconstructing the evolution of female genitalia	13	A new analysis was needed to place the recently described Perochaeta dikowi, which is included in our study and whose DNA sequence data was added to Su et al.'s data using the concatenation software SequenceMatrix [61]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC5480257.nxml	5480257	28641575.0	10.1186/s12862-017-0984-1	2017	Phylogeographic sampling	7	Sequences were concatenated into a fourth matrix with the program Sequence Matrix [37], only including samples with the three DNA regions sequenced (66 samples)	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC6670200.nxml	6670200	31366328.0	10.1186/s12862-019-1477-1	2019	DNA extraction, PCR and sequencing analysis	39	Sequence concatenations and file format conversions were implemented in Sequence Matrix [50]	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC4029975.nxml	4029975	24886257.0	10.1186/1471-2148-14-94	2014	Phylogenetic analyses and estimation of divergence times	6	Both single gene alignments were concatenated using SequenceMatrix v	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC5052871.nxml	5052871	27716026.0	10.1186/s12862-016-0771-4	2016	Phylogenetic analyses	48	The concatenated alignment was constructed from the single gene alignments using SequenceMatrix [50]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC3553075.nxml	3553075	23311954.0	10.1186/1471-2148-13-8	2013	Phylogenetic analysis	48	All genes were aligned in Geneious [49] and matrices were concatenated in SequenceMatrix [50]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC6729053.nxml	6729053	31492110.0	10.1186/s12862-019-1501-5	2019	Concatenated dataset	78	I compiled the data with SequenceMatrix [109]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC5664827.nxml	5664827	29089027.0	10.1186/s12862-017-1065-1	2017	Phylogenetic analyses	9	Concatenated matrices of all genes were generated using Sequence Matrix [50] with missing data coded as question marks (?)	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC5027107.nxml	5027107	27639849.0	10.1186/s12862-016-0764-3	2016	Methods	4	Phylogenetic inference: Individual matrices including all sequences for each marker were aligned in Mesquite [17] and imported into SequenceMatrix [18] to export concatenated matrices (excluding taxa causing topological conflict between gene trees; see below) for further analyses	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC6211570.nxml	6211570	30382913.0	10.1186/s12862-018-1280-4	2018	Genetic diversity	17	The sequences from respective samples were concatenated (CR + CYTB, 2230 bp) using SequenceMatrix v.1.8 [49]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC4537560.nxml	4537560	26275399.0	10.1186/s12862-015-0445-7	2015	Phylogenetic reconstruction and molecular dating	34	The five chloroplastic genes were concatenated into a single dataset using SequenceMatrix 1.7.8 [86], while the chloroplast and nuclear datasets were analyzed separately	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/BMC_Evol_Biol/PMC7236349.nxml	7236349	32429841.0	10.1186/s12862-020-01623-6	2020	Datasets	48	Amino acid sequences were aligned using MUSCLE program [57], and the alignments of individual genes were concatenated using SequenceMatrix v.1.7.8 [58]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC4455531.nxml	4455531	26040695.0	10.1186/s12864-015-1566-5	2015	Evolutionary relationships based on phylogenetic analysis	7	Individual genes and aligned partitions were concatenated with SequenceMatrix [41]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC6032552.nxml	6032552	29973152.0	10.1186/s12864-018-4893-5	2018	Alignment, sequence analysis, phylogenetic reconstruction and gene order analysis	44	ALTER [111] and GenBank 2 Sequin [112] were used for file conversion, and SequenceMatrix [113] to concatenate alignment files.	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC5481933.nxml	5481933	28645249.0	10.1186/s12864-017-3868-2	2017	Phylogenetic analysis	7	For the concatenation analysis, aligned gene sequences with at least 450 bp of overlapping sequence were concatenated into a single file using SequenceMatrix [45]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC7376913.nxml	7376913	32703172.0	10.1186/s12864-020-06896-1	2020	Species phylogeny	63	Orthologs of each housekeeping gene were first aligned using MAFFT [91], and then the resulting alignments were concatenated using SequenceMatrix [93]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC6480918.nxml	6480918	31014248.0	10.1186/s12864-019-5567-7	2019		76	The resulting alignments were then concatenated using SequenceMatrix, and then subjected to maximum likelihood analysis as implemented in IQ-Tree (version 1.6.7)	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC6567464.nxml	6567464	31195968.0	10.1186/s12864-019-5831-x	2019	Phylogenetic analysis	8	Subsequently, six housekeeping gene sequences were concatenated in the same order using SequenceMatrix	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC4870793.nxml	4870793	27193938.0	10.1186/s12864-016-2681-7	2016	Sequences and alignment	41	The 89 genes were concatenated using SequenceMatrix v 1.7.8 [85] to one MSA containing all the avian data, and a second MSA containing the 89 mammalian genes	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Genomics/PMC5311727.nxml	5311727	28201983.0	10.1186/s12864-016-3480-x	2017	Phylogenetic analysis	10	Individual alignments were concatenated using SequenceMatrix version 1.8 [29]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Plant_Biol/PMC6486959.nxml	6486959	31029077.0	10.1186/s12870-019-1771-5	2019	Phylogenetic reconstruction from a concatenated dataset	40	Starting with alignments from previous studies, we independently aligned all loci manually as needed using Geneious (Biomatters) and concatenated these alignments using SequenceMatrix [65]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Plant_Biol/PMC5702240.nxml	5702240	29178835.0	10.1186/s12870-017-1160-x	2017	Phylogenetic analyses	61	Therefore, we combined the nuclear and plastid datasets in SequenceMatrix v	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/BMC_Plant_Biol/PMC4498522.nxml	4498522	26159907.0	10.1186/s12870-015-0547-9	2015	Phylogenetic analysis	8	Aligned matrices of four DNA regions were combined using SequenceMatrix version 1.7 [46]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Biodivers_Data_J/PMC8346447.nxml	8346447	34393583.0	10.3897/BDJ.9.e67248	2021	Materials and methods	10	Sequences of each locus were combined to form a concatenated super matrix using SequenceMatrix 1.7.8 and analysed with Maximum Likelihood (ML) and Bayesian Inference (BI) criteria.	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Biodivers_Data_J/PMC5345029.nxml	5345029	28325977.0	10.3897/BDJ.5.e10824	2017	Sequencing	3	These regions were concatenated using Sequence Matrix software [Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Biodivers_Data_J/PMC7752887.nxml	7752887	33364897.0	10.3897/BDJ.8.e58755	2020	Phylogenetic analyses	8	Multiple loci were combined by SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Biodivers_Data_J/PMC7280319.nxml	7280319	32547305.0	10.3897/BDJ.8.e53678	2020	Phylogenetic analyses	6	Three single gene alignments were combined using Sequence Matrix (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Biology_(Basel)/PMC7284791.nxml	7284791	32443792.0	10.3390/biology9050106	2020	4.3. Data Analysis	17	α-globin/β-globin gene clusters were combined using SequenceMatrix 1.7.8 for the construction of phylogenetic trees [29]	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Biomed_Res_Int/PMC5884435.nxml	5884435	29750171.0	10.1155/2018/7627191	2018	2.3. Sequence Data Preparation and Evaluation	8	The datasets were finally concatenated into one final data matrix using SequenceMatrix [52] for phylogenetic analyses.	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mar_Drugs/PMC6520677.nxml	6520677	30978942.0	10.3390/md17040220	2019	2.2. Fungal Identification	8	Then, alignments were concatenated into a single data matrix with SequenceMatrix v	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Microb_Cell_Fact/PMC6532204.nxml	6532204	31122261.0	10.1186/s12934-019-1108-y	2019	Molecular identification and phylogenetic analysis	31	For multilocus analysis, the loci were concatenated by the use of Sequence Matrix v.1.8 [43, 44]	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Microorganisms/PMC8308049.nxml	8308049	34210043.0	10.3390/microorganisms9071409	2021	2.3. Bioinformatic Analyses	11	After alignment, the concatenation of TEF and Bloc sequences was conducted in SequenceMatrix 1.7.3 for further multilocus analysis [43]	SequenceMatrix	1.7.3	SM51323	software	SequenceMatrix
comm	comm/Microorganisms/PMC8401334.nxml	8401334	34442643.0	10.3390/microorganisms9081564	2021	2.4. Phylogenetic Analyses	9	KU687109)) were individually aligned using MAFFT (v.7.4; parameter: mafft -auto) [43], and these multiple alignments were concatenated in SequenceMatrix (v.1.8) [44]	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Microorganisms/PMC8401334.nxml	8401334	34442643.0	10.3390/microorganisms9081564	2021	2.5. Time-Scaled Bayesian Phylogeny	11	KU687109)) were individually aligned using MAFFT (v.7.4; parameter: mafft -auto) [43] and concatenated in SequenceMatrix (v.1.8) [44].	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Microorganisms/PMC7716436.nxml	7716436	33121102.0	10.3390/microorganisms8111666	2020	2.11. Multi-Locus Sequence Analysis of V. anguillarum Housekeeping Genes	17	Concatenation of locus sequences was made using Sequence Matrix software v1.7.8 [42]	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Microorganisms/PMC8069873.nxml	8069873	33921528.0	10.3390/microorganisms9040812	2021	2.10. Multi-Locus Sequence Analysis (MLSA) Using Housekeeping Genes	18	Concatenation of locus sequence was made using Sequence Matrix software v1.7.8 [38]	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7707410.nxml	7707410	33366182.0	10.1080/23802359.2019.1682478	2019		4	The aligned data from 13PCGs were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7783027.nxml	7783027	33457801.0	10.1080/23802359.2020.1775515	2020		4	The aligned data from 13PCGs were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8183557.nxml	8183557	34124362.0	10.1080/23802359.2021.1934167	2021		3	The sequences of 14 proteins were locally aligned with BioEdit (Hall 1999) and concatenated with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8253198.nxml	8253198	34263039.0	10.1080/23802359.2021.1944389	2021		2	2.0 (Wernersson and Pedersen 2003) and concatenated using SequenceMatrix ver	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8259871.nxml	8259871	34263050.0	10.1080/23802359.2021.1945967	2021		2	2019) and then concatenated these alignments into a combined gene dataset using SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7782136.nxml	7782136	33457856.0	10.1080/23802359.2020.1781561	2020		4	2016) to alignment DNA sequences individually and used SequenceMatrix v1.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8158263.nxml	8158263	34104757.0	10.1080/23802359.2021.1930219	2021		3	The sequences of 14 proteins were locally aligned with BioEdit (Hall 1999) and concatenated with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8405070.nxml	8405070	34471697.0	10.1080/23802359.2021.1967806	2021		2	1994) and concatenated with SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7971261.nxml	7971261	33796674.0	10.1080/23802359.2021.1886019	2021		1	2010) and concatenated with SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7889097.nxml	7889097	33628937.0	10.1080/23802359.2021.1875915	2021		4	2016), and the alignment results were then concatenated using SequenceMatrix v1.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7800549.nxml	7800549	33473596.0	10.1080/23802359.2016.1219638	2016		1	The aligned data from each locus were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7759273.nxml	7759273	33426284.0	10.1080/23802359.2020.1840931	2020		1	Aligned sequences for each gene were concatenated using SequenceMatrix v1.7 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7707660.nxml	7707660	33366349.0	10.1080/23802359.2019.1692719	2019		2	With SequenceMatrix v1.8 concatenated polygene fragments, MEGA v6.06 constructed a neighbor-joining phylogenetic tree by 1000 bootstrap replicates based on polygene fragments.	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8284135.nxml	8284135	34345683.0	10.1080/23802359.2021.1945972	2021		3	Alignments of individual genes were concatenated using SequenceMatrix 1.7.8 (Vaidya et al	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7721053.nxml	7721053	33366423.0	10.1080/23802359.2019.1696241	2019		3	We manually checked in BioEdit (Hall 1999) and concatenated these aligned sequences using SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7720951.nxml	7720951	33366533.0	10.1080/23802359.2019.1698331	2019		3	The aligned data from 13PCGs were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8439222.nxml	8439222	34532579.0	10.1080/23802359.2021.1972870	2021		7	The 13 PCGs sequences were aligned using Clustal v2.1 after manually removed the stop codons, and then concatenated into a combined dataset using SequenceMatrix v1.7.8	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8266248.nxml	8266248	34286091.0	10.1080/23802359.2021.1947916	2021		4	2010) and concatenated using SequenceMatrix version 1.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7707448.nxml	7707448	33366200.0	10.1080/23802359.2019.1682483	2019		3	The aligned data were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8291066.nxml	8291066	34350345.0	10.1080/23802359.2021.1950066	2021		2	2019), and then concatenated these alignments into a gene dataset using the SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8259866.nxml	8259866	34263044.0	10.1080/23802359.2021.1915711	2021		2	Thirteen PCGs were concatenated by SequenceMatrix v1.7.8 (Gaurav et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7971323.nxml	7971323	33796669.0	10.1080/23802359.2021.1886014	2021		4	The sequence matrix with 13,171 aligned nucleotide sites were concatenated using SequenceMatrix v1	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8079056.nxml	8079056	33969213.0	10.1080/23802359.2021.1914522	2021		3	Alignments of individual genes were concatenated using SequenceMatrix 1.7.8 (Vaidya et al	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7748853.nxml	7748853	33366563.0	10.1080/23802359.2019.1703585	2020		4	The aligned data were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8312585.nxml	8312585	34368443.0	10.1080/23802359.2021.1955767	2021		3	Alignments of individual genes were concatenated using SequenceMatrix 1.7.8 (Vaidya et al	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7783146.nxml	7783146	33458046.0	10.1080/23802359.2020.1797563	2020		3	2010) and concatenated with SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7954433.nxml	7954433	33763594.0	10.1080/23802359.2021.1884020	2021		4	Ambiguously aligned sites were excluded in Gblocks v.0.91b (Castresana 2000) and then concatenated using SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7782284.nxml	7782284	33457974.0	10.1080/23802359.2020.1790325	2020		3	2015) with MAFFT (Katoh and Standley 2013) and concatenated in SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8425699.nxml	8425699	34514135.0	10.1080/23802359.2021.1970647	2021		3	2010) was used for the PCGs alignment and SequenceMatrix v1.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8266238.nxml	8266238	34286082.0	10.1080/23802359.2021.1945508	2021		2	2019), and then we concatenated these alignments into a combined gene dataset using SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7799975.nxml	7799975	33474270.0	10.1080/23802359.2017.1413308	2018		4	The data aligned from 13PCGs were concatenated with Sequence Matrix v.1.7.8 (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8330779.nxml	8330779	34377791.0	10.1080/23802359.2021.1944383	2021		2	2019), and then, we concatenated these alignments to a gene set using the SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC8425693.nxml	8425693	34514133.0	10.1080/23802359.2021.1970643	2021		2	2019), and then concatenated into a gene dataset using the SequenceMatrix v1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mitochondrial_DNA_B_Resour/PMC7707367.nxml	7707367	33365997.0	10.1080/23802359.2019.1674215	2019		2	Individual sequences of 14 protein-coding genes (atp6, atp8, atp9, cob, cox1,cox2, cox3, nad1, nad2, nad3, nad4, nad4L, nad5 and nad6) were aligned using MEGA v6.06, concatenated using SequenceMatrix v1.8, and then a neighbor-joining phylogenetic tree was constructed using MEGA v6.06 with 1000 bootstrap replicates.	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mol_Ecol/PMC4657503.nxml	4657503	26172573.0	10.1111/mec.13307	2015	DNA isolation, amplification and sequencing	8	The two genes were concatenated using Sequence Matrix (Vaidya et al	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/Molecules/PMC6154544.nxml	6154544	28513562.0	10.3390/molecules22050824	2017	4.4. Phylogenetic Analyses for Isolate Identification	23	The multilocus datasets were generated with the SequenceMatrix program [72] and the phylogenetic analyses were performed using the maximum likelihood (ML) approach	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/Mol_Plant_Pathol/PMC7814964.nxml	7814964	33301200.0	10.1111/mpp.13025	2020	Phylogenetic analysis	40	The data sets were concatenated using Sequence Matrix (Vaidya et al., 2011) and the concatenated sequences (7,960 amino acids) were then exported for further analysis.	Sequence Matrix		SM61024	not_curated	SequenceMatrix
comm	comm/MycoKeys/PMC6160798.nxml	6160798	30271262.0	10.3897/mycokeys.40.26724	2018	Sequence alignment and phylogenetic analysis	8	SequenceMatrix software (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC5904430.nxml	5904430	29681740.0	10.3897/mycokeys.33.23341	2018	DNA isolation, amplification and sequences analyses	5	2013) and SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC7136305.nxml	7136305	32273794.0	10.3897/mycokeys.66.46575	2020	Phylogenetic analyses	8	Alignments were constructed separately for each locus with MUSCLE 3.8.31 (Edgar 2004) and the concatenated matrices were assembled by SequenceMatrix 1.7.8 (Vaidya et al	SequenceMatrix	1.7.8	SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC6422929.nxml	6422929	30914842.0	10.3897/mycokeys.49.31904	2019	Sequence alignment and phylogenetic analyses	8	were combined and manually adjusted using BioEdit v.7.0.5.3 (Hall 1999), then assembled using SequenceMatrix1.7.8 (Vaidya et al	SequenceMatrix1	SequenceMatrix1.7.8	SM385831	not_curated	SequenceMatrix
comm	comm/MycoKeys/PMC7078340.nxml	7078340	32206025.0	10.3897/mycokeys.65.47704	2020	Sequence alignment and molecular phylogenetic analysis	10	The multi-locus gene dataset was generated using SequenceMatrix v.1.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC6694076.nxml	6694076	31423085.0	10.3897/mycokeys.57.36628	2019	Phylogenetic Analyses	6	The aligned sequences of multiple loci were concatenated by SequenceMatrix v.1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC6595004.nxml	6595004	31274984.0	10.3897/mycokeys.55.35522	2019	Sequence alignment and phylogenetic analysis	11	As a consequence, alignments were concatenated into a single data matrix with SequenceMatrix (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC6775174.nxml	6775174	31592222.0	10.3897/mycokeys.58.37176	2019	Sequence alignment and phylogenetic analyses	9	The concatenated LSU+RPB1+RPB2+TEF and ITS+LSU sequences were assembled by SequenceMatrix v.1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC6477871.nxml	6477871	31048984.0	10.3897/mycokeys.51.32272	2019	Phylogenetic analyses	5	After alignment, the concatenation of different genes was done in SequenceMatrix 1.8 (Vaidya et al	SequenceMatrix	1.8	SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC8124063.nxml	8124063	34035655.0	10.3897/mycokeys.80.66794	2021	Sequence alignment and phylogenetic analyses	6	Assembling of the combined datasets (RPB1+RPB2+TEF and ITS+RPB1+RPB2+TEF) was performed by SequenceMatrix v.1.7.8 (Vaidya et al	SequenceMatrix		SM51323	software	SequenceMatrix
comm	comm/MycoKeys/PMC8093184.nxml	8093184	33958952.0	10.3897/mycokeys.79.66302	2021	Phylogenetic tree construction	9	The two multi-gene matrixes were generated by SEQUENCEMATRIX 1.7.8 (Vaidya et al	SEQUENCEMATRIX	1.7.8	SM385970	not_curated	not_disambiguated
